ID,"Survey Data ID","Survey ID",Survey,Participant,Age,Gender,Address,"Well-Functioning Government","Low Levels of Corruption","Equitable Distribution of Resources","Good Relations with Neighbours","Free Flow of Information","High Levels of Human Capital","Sound Business Environment","Acceptance of the Rights of Others","Positive Peace","Negative Peace","Extra Question 1","Extra Question 2","Extra Question 3","Extra Question 4","Survey Date"
1305,etv2axs6d10uam5q3wetv2ayu6mhmafc,bggxbjYa,"Final Global Pattern Survey (Multiple Extra Questions)",,"25 to 44",Male,,3,3,3,4,4,4,4,5,3,4,5,test,One,One,"10 Jun, 2025"
1304,324ewfwguce8z5c65324ranfw4utibit,bggxbjYa,"Final Global Pattern Survey (Multiple Extra Questions)",,"45 to 64",Other,,5,4,3,2,3,4,5,4,3,4,5,"answer 2",Two,Two,"08 Jun, 2025"
1303,sjlt09jvubo9wt35xpc6sjlt0uwf470g,xrCVNDYc,"Final Country Pattern Survey (Multiple Extra Questions)",,"45 to 64",Other,Lalitpur,4,3,5,4,2,3,4,5,4,3,"answer 1",Three,5,5,"Four, Two, One","08 Jun, 2025"
1302,rx2d99rg4x04xz3r4rx2dcofcvabtt79,xrCVNDYc,"Final Country Pattern Survey (Multiple Extra Questions)",,"25 to 44",Male,kathmandu,5,4,3,4,5,3,4,5,3,2,"answer 1",Three,5,5,0,"08 Jun, 2025"
1299,01JX7M9GJE234ARPNVE6YSZGS7,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Male,,1,3,4,5,6,3,6,3,4,3,"08 Jun, 2025"
1298,01JX7BPEC5MC927JS3E06DBFMA,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"18 to 24",Male,,1,3,5,6,4,5,2,4,3,,"08 Jun, 2025"
1297,01JX76H2TY3JJKJV6HCC0MWD79,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"45 to 64",Other,,,,,,,,,,,,"08 Jun, 2025"
1296,01JX29QRTDPSZ1C0ED6XHTYYRT,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"18 to 24",Male,,3,3,4,4,5,4,5,4,4,4,"06 Jun, 2025"
1295,01JX0YJBW342JTH5MAJEBTWXWX,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"Prefer not to say",Female,,3,4,4,4,5,3,5,3,5,5,"05 Jun, 2025"
1294,01JX0567892JQSZYV22X8G4250,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Female,,4,5,6,4,6,3,6,4,4,5,"05 Jun, 2025"
1293,a714dorb6pm861h0x5ua714dozhuvcqv,Cq7xBqiz,"Global Survey Template",,"18 to 24",Female,,6,6,6,6,6,6,6,6,6,6,"04 Jun, 2025"
1292,01JWWXM67KA3MD29S9831HDP4H,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Male,,3,5,5,5,5,2,5,2,5,5,"04 Jun, 2025"
1291,01JWWW8S27BPD0VM1C1HH3E6WE,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"45 to 64",Male,,3,2,2,6,5,5,,,,,"04 Jun, 2025"
1290,82xwni9849xe8q1zw82xwszdxvalhmsv,aSwTAWyF,"Country Pattern Survey",,"18 to 24","Prefer not to say",,5,5,5,5,5,5,5,5,5,5,"04 Jun, 2025"
1289,jiqccv13wl1qhxjm4jiqc88sym0xz83k,Cq7xBqiz,"Global Survey Template",,"45 to 64",Male,,4,5,3,6,5,6,4,2,6,5,"04 Jun, 2025"
1288,01JWWSXT6WCS72276Z3FBEN4M3,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Male,,,,,,,,,,,,"04 Jun, 2025"
1287,31kr13c7uje16l3kspjk631kr13eve3f,aSwTAWyF,"Country Pattern Survey",,"65 or over",Other,,4,3,5,5,5,2,6,5,4,5,"04 Jun, 2025"
1286,01JWWRVN3HT1WMP0PEYX6HTW0E,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"45 to 64",Male,,3,3,3,3,4,6,4,4,5,5,"04 Jun, 2025"
1285,ue47cywhhacy0cbkp9mc1ue47c96nx4j,Cq7xBqiz,"Global Survey Template",,"18 to 24",Other,,4,1,6,6,6,6,6,6,6,6,"04 Jun, 2025"
1284,mi62xnuyre0dt61pkxw6mi62xnuho3cf,Cq7xBqiz,"Global Survey Template",,"65 or over",Other,,5,4,3,2,1,2,3,4,5,4,"04 Jun, 2025"
1283,nk7pdito2o37e4urgnk7pdicush0x4th,Cq7xBqiz,"Global Survey Template",,"45 to 64",Male,,5,4,3,2,1,3,4,5,4,3,"04 Jun, 2025"
1282,jh0dq6ww1tjm4fg96t5jh0dq6wiled9q,Cq7xBqiz,"Global Survey Template",,"Prefer not to say","Prefer not to say",,5,4,3,2,1,2,3,4,5,6,"04 Jun, 2025"
1281,78unt16e8zjkemo78untaxsjouu3v2in,aSwTAWyF,"Country Pattern Survey",,"25 to 44","Prefer not to say",,5,2,4,3,1,5,6,4,3,5,"04 Jun, 2025"
1280,01JWVV0VK54K5FAC5RF9RCNRPG,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Male,,3,3,2,4,3,6,6,1,2,3,"03 Jun, 2025"
1279,01JWVS9T0GZQ5P26CH3HBGJ5B4,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Female,,1,,,,,,,,,,"03 Jun, 2025"
1278,01JWVPPWFT6DF91NWSMRZSRK7C,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Male,,2,3,1,1,2,1,4,1,5,3,"03 Jun, 2025"
1277,01JWVPPM6EHEX4D0R3XQTYSG0W,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Female,,2,3,4,4,6,3,6,2,2,1,"03 Jun, 2025"
1276,01JWVMJK53P7MNV8MKXHE5NFQ5,QW6dZzfA,"Community Peace Perceptions Survey - IEP",,"25 to 44",Female,,6,6,6,6,6,1,6,6,6,,"03 Jun, 2025"
